types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cante_flamenco,Cante flamenco,136,34,1.0,0.0,0,8,== Biography == | === First recordings ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Cante_flamenco,Cante flamenco,136,34,1.0,0.0,0,8,== Biography == | === First recordings ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Cante_flamenco,Cante flamenco,136,34,1.0,0.0,0,8,== Biography == | === First recordings ===
