types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WikicatMechanicalToys,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Car102958343,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/MotorVehicle103791235,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Plaything103964744,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/PublicTransport104019101,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Self-propelledVehicle104170037,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Train104468005,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WikicatElectronicToys,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WikicatToyCarsAndTrucks,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WikicatToyTrains,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
http://dbpedia.org/class/yago/WikicatToys,http://dbpedia.org/resource/Toy_train,toy train,107,118,0.9999999999922692,0.0,0,6,== Career == | ==== Television ====
