types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Operation114008806,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Action114006945,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/WikicatPoliceOperationsInTheUnitedKingdom,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Report107218470,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/WikicatReportsOfTheMetropolitanPoliceService,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Operation_Yewtree,Operation Ravine,84,167,0.9999999999999716,0.0,16,32,== Career == | === 2018 trial ===
