types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatHospitalsEstablishedIn1994,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatHospitalsInSouthKorea,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/ontology/Hospital,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Hospital103540595,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/MedicalBuilding103739518,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatTeachingHospitalsInSouthKorea,http://dbpedia.org/resource/Samsung_Medical_Center,Samsung Medical Center,20,209,1.0,0.0,2,12,== Personal life == | === Philanthropy ===
