types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAutomotiveBodyParts,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/ontology/Weapon,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/BodyPart105220461,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Part109385911,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Fender_skirts,spats,56,189,0.9186638484229614,0.0885374460765878,8,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Fastener110080337,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
http://dbpedia.org/class/yago/WikicatFasteners,http://dbpedia.org/resource/Kingpin_(automotive_part),king pin,82,108,0.999990854655106,0.0,9,10,== Radio == | === 1930s ===
