types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatWebBrowsers,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Application106570110,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Browser106571301,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/HotSauce,Hotsauce,7,9,0.9999998187678778,0.0,0,9,== Discography == | === Albums ===
