types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/WikicatArts,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/WikicatArtsAndCultureInTheAncienRégime,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/ontology/Convention,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Salon_(gathering),salon hostess,1552,8,0.99999999180406,0.0,8,5,== Background == | === Education ===
