types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatMusicIndustryAssociations,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatMusicOrganizations,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Productores_de_Música_de_España,Amigo Award,615,59,0.9999999978541894,0.0,10,6,== Biography == | === Career ===
