types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/ontology/School,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://dbpedia.org/class/yago/WikicatSportsClubsEstablishedIn1885,http://dbpedia.org/resource/Cincinnati_Bearcats_football,Cincinnati,978,53,0.6265168859460121,0.5625929550450567,9,7,== Biography == | ==== United States ====
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatClassicalPianists,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatFrenchClassicalPianists,http://dbpedia.org/resource/Claire-Marie_Le_Guay,Claire-Marie Le Guay,15,173,1.0,0.0,1,9,== Biography == | === Recordings ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatAcademicsOfTheConservatoireDeParis,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatPeopleFromNogent-sur-Marne,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatClassicalOrganists,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatConservatoireDeParisAlumni,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Academician109759069,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Organist110382825,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Wikicat20th-centuryClassicalComposers,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/Wikicat21st-centuryClassicalComposers,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatFrenchClassicalOrganists,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
http://dbpedia.org/class/yago/WikicatFrenchComposers,http://dbpedia.org/resource/Thierry_Escaich,Thierry Escaich,78,113,1.0,0.0,5,9,== Biography == | === Recordings ===
