types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WritingStyle107092158,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WikicatLiteraryGenres,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WikicatRoads,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Road104096066,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WebSite106359193,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WikicatTravelBooks,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
http://dbpedia.org/class/yago/WikicatTravelWebsites,http://dbpedia.org/resource/Travel_literature,travel journal,1341,31,0.9999999997164224,0.0,0,40,== Works == | === Non-fiction ===
