types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Holiday,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/WikicatDecemberObservances,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1976,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Affair107447261,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Celebration107450651,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Look100877127,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Observation100879759,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/Sensing100876874,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/SensoryActivity100876737,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
http://dbpedia.org/class/yago/WikicatNewYearCelebrations,http://dbpedia.org/resource/First_Night,First Night Boston,74,67,1.0,0.0,6,11,== Career == | === Big Noise ===
