types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGerman-languageWriters,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanPhilosophers,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Wikicat18th-centuryGermanWriters,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Wikicat19th-centuryGermanWriters,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Philosopher110423589,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEarlyModernPhilosophers,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatRomancePhilologists,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Friedrich_Bouterwek,Friedrich Bouterwek,9,196,1.0,0.0,17,9,== Life == | === Education ===
