types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatItalianPlays,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WikicatPlays,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WikicatPlaysByCarloGoldoni,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WikicatComedyPlays,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Wikicat1762Plays,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
http://dbpedia.org/class/yago/Wikicat18th-centuryPlays,http://dbpedia.org/resource/Le_baruffe_chiozzotte,Le baruffe chiozzotte,18,0,1.0,0.0,0,57,== Selected works == | === Comedies ===
