types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/WikicatWritersOfArthurianLiterature,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Clergyman109927451,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Linguist110264219,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Priest110470779,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/SpiritualLeader109505153,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Translator110725280,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Wikicat13th-centuryRomanCatholicPriests,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/Wikicat13th-centuryWriters,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/WikicatFrench–NorwegianTranslators,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/WikicatNorwegianRomanCatholicPriests,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
http://dbpedia.org/class/yago/WikicatNorwegianWriters,http://dbpedia.org/resource/Brother_Robert,Brother Robert,12,89,0.9999999977338234,0.0,12,76,== Problems of biography == | === Photographs ===
