types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatLatinMottos,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatMilitaryMottos,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatMottos,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatNationalSymbolsOfPoland,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Motto107152259,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatSymbols,http://dbpedia.org/resource/Semper_fidelis,Semper fidelis,75,0,1.0,0.0,0,18,== Selected works == | === Orchestral ===
