types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/WikicatArticulations,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/ontology/ProgrammingLanguage,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/WikicatMusicalPerformanceTechniques,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Articulation107131854,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Pronunciation107128946,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/Utterance107109847,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/WikicatExtendedTechniques,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
http://dbpedia.org/class/yago/WikicatStringPerformanceTechniques,http://dbpedia.org/resource/Col_legno,col legno,57,40,1.0,0.0,0,23,== Selected discography == | === Selected recordings ===
