types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatMilitarySnipers,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Marksman110294953,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Shot110593115,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Sniper110616899,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sniper,spotter,2476,23,0.981074864954492,0.0102456884120016,8,14,== Career == | === 1970s ===
