types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/WikicatIndividualSports,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/EquestrianSport100450700,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Riding100450335,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/WikicatEquestrianSports,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
http://dbpedia.org/class/yago/WikicatOlympicSports,http://dbpedia.org/resource/Equestrianism,equestrian sports,6715,156,1.0,0.0,1,22,== Biography and career == | === Hobby ===
