types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Pontoise_station,Pontoise,54,3,0.8062882007402506,0.2402513134656963,1,10,== Works == | === Theatre ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatJournalists,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatPeopleFromParis,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatPseudonymousWriters,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatWritersFromParis,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatLibrettists,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Dramatist110030277,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Librettist110258152,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/Wikicat19th-centuryFrenchWriters,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatFrenchDramatistsAndPlaywrights,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatFrenchOperaLibrettists,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://dbpedia.org/class/yago/WikicatFrenchPeople,http://dbpedia.org/resource/Jules_Adenis,Jules Adenis,24,83,1.0,0.0,1,10,== Works == | === Theatre ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Condottiero,condottiere,823,8,0.9999999999115944,0.0,0,26,== Works == | === Melodies ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Condottiero,condottiere,823,8,0.9999999999115944,0.0,0,26,== Works == | === Melodies ===
http://dbpedia.org/ontology/Fashion,http://dbpedia.org/resource/Revers,revers,25,14,0.999992165529457,0.0,0,31,== Works == | === Melodies ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Charles_Delange,Charles Delange,2,47,0.9998575664278134,0.0,0,41,== Works == | === Melodies ===
