types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlternativeWeeklyNewspapers,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/ontology/Newspaper,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Newspaper106267145,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Alternative_newspaper,alt-weekly,454,66,0.9999999995439168,0.0,4,5,== Career == | === Stand-up comedy ===
