types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LiquidBodySubstance105397468,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/BodySubstance105263850,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Categorization101012712,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Emotion107480068,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Explanation105793000,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Feeling100026192,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Grouping101012360,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/WikicatObsoleteScientificTheories,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/WikicatPersonalityTypologies,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/ScientificTheory105993844,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Four_temperaments,sanguine,168,115,0.9999951125873912,4.887436500815597e-06,5,23,== Music == | === Symphonies ===
