types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatIBMSupercomputers,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/DigitalComputer103196324,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Mainframe103711711,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Supercomputer104358117,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/WikicatSupercomputers,http://dbpedia.org/resource/Blue_Brain_Project,Blue Brain,93,9,0.9999999998093898,0.0,0,23,== Discography == | === Selected singles ===
