types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAltars,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Altar102699629,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Furnishing103405265,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Furniture103405725,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/GraphicArt103453809,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Painting103876519,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Table104379243,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
http://dbpedia.org/class/yago/WikicatPaintings,http://dbpedia.org/resource/Polyptych,polyptych,395,87,0.9999999999986926,0.0,2,158,== Symphonic poems == | === Hoary Fog ===
