types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tempo,molto allegro,8842,170,1.0,0.0,9,52,== Music == | === Chamber ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Tempo,molto allegro,8842,170,1.0,0.0,9,52,== Music == | === Chamber ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Tempo,molto allegro,8842,170,1.0,0.0,9,52,== Music == | === Chamber ===
