types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatScottishFolkSongs,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatScottishPatrioticSongs,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatScottishSongs,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/PopularMusic107059255,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatSongsAboutTheMilitary,http://dbpedia.org/resource/A_Scottish_Soldier,A Scottish Soldier,13,8,1.0,0.0,0,46,== Selected discography == | === Singles ===
