types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatLexicographers,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatLinguistsFromFrance,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/WikicatRomancePhilologists,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Compiler109946957,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Editor110044879,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Educationist110045454,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Encyclopedist110055566,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Pierre_Larousse,Pierre Larousse,148,18,1.0,0.0,0,13,== References and sources == | === Sources ===
