types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatActionMasters,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Changer109609871,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Maestro110280130,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Relative110235549,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Sibling110595164,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Twin110734394,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/WikicatFictionalMartialArtists,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/WikicatFictionalTwins,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
http://dbpedia.org/class/yago/WikicatSpyChangers,http://dbpedia.org/resource/Sideswipe_(Transformers),sideswipe,178,119,0.9943592293813532,0.0,4,20,== Death == | === Automobile collision ===
