types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Root_beer,root beer,394,117,0.9999999999994884,0.0,3,3,== Biography == | === Early life ===
http://dbpedia.org/ontology/Beverage,http://dbpedia.org/resource/Root_beer,root beer,394,117,0.9999999999994884,0.0,3,3,== Biography == | === Early life ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Root_beer,root beer,394,117,0.9999999999994884,0.0,3,3,== Biography == | === Early life ===
