types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatLibrarians,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatRomancePhilologists,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Anthropologist109796323,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Archeologist109804806,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Librarian110257948,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/SocialScientist110619642,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanArchaeologists,http://dbpedia.org/resource/Karl_Ludwig_Fernow,Karl Ludwig Fernow,21,129,1.0,0.0,22,9,== Life == | === Education ===
