types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/WikicatCompaniesDisestablishedIn1998,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1919,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/WikicatDefunctPharmaciesOfTheUnitedStates,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Drugstore103249342,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/MercantileEstablishment103748162,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Shop104202417,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Thrifty_PayLess,Payless,85,92,0.9999996103408556,3.823625707905091e-07,0,14,== Career == | === Other work ===
