types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Zone108688247,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/WikicatMarianaIslands,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/WikicatNationalMonumentsOfTheUnitedStates,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Ditch103214253,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Excavation103302121,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Island109316454,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Land109334396,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Memorial103743902,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/NationalMonument103810952,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/TopographicPoint108664443,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Trench104478657,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/WikicatOceanicTrenches,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/WikicatOceanicTrenchesOfThePacificOcean,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
http://dbpedia.org/class/yago/WikicatSubductionZones,http://dbpedia.org/resource/Mariana_Trench,Mariana Trench,407,19,1.0,0.0,5,7,== Career == | ==== WWE ====
