types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Film103338821,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/WikicatPhotographicFilms,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/PhotographicEquipment103926148,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/PhotographicPaper103926412,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Negative_(photography),photo negative,955,99,0.9999999428325468,0.0,1,31,== Acting career == | === Stage (1990–present) ===
