types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/ontology/Star,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/CelestialBody109239740,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/NaturalObject100019128,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Star109444100,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatG-typeMain-sequenceStars,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatG-typeStars,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatStars,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatStarsWithProperNames,http://dbpedia.org/resource/Sun,Sol,21264,142,0.5084121049111527,0.6624964882902964,1,29,== Career == | === 1980s ===
