types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/GraphicArt103453809,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatGermanPaintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatPaintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Wikicat1920Paintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Wikicat1920sPaintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Wikicat20th-centuryPaintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/Painting103876519,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatExpressionistPaintings,http://dbpedia.org/resource/Angelus_Novus,Angelus novus,11,0,1.0,1.120202551673636e-16,0,36,== Compositions == | === Orchestral ===
