types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/WikicatAnti-fascistOrganizations,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/WikicatGuerrillaOrganizations,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/WikicatCommunistOrganizations,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Force108208016,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/MilitaryUnit108198398,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Paramilitary108207209,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1970,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
http://dbpedia.org/class/yago/WikicatParamilitaryOrganizations,http://dbpedia.org/resource/Red_Army_Faction,Baader-Meinhof,877,1,0.9999999892289112,0.0,0,105,== Bibliography == | ==== Short stories ====
