types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatItalianPlays,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/WordPicture107201804,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Description106724763,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Portrayal107202391,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatStagePortrayalsOfJesus,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatTheatricalGenres,http://dbpedia.org/resource/Passion_Play,Passion play,461,77,1.0,0.0,4,28,== Career == | === Films ===
