types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatChildren'sGames,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatLiteraryTechniques,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/PartyGame100458800,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatGames,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatPaintingTechniques,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatPaper-and-pencilGames,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatPartyGames,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatSurrealistTechniques,http://dbpedia.org/resource/Exquisite_corpse,exquisite corpse,104,120,1.0,0.0,19,8,== Career == | === Studio albums ===
