types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBattlesAndConflictsWithoutFatalities,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/WikicatTerroristIncidentsIn1975,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/WikicatSiegesInTheUnitedKingdom,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Battle100953559,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Blockade100954086,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Incident107307477,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/MilitaryAction100952963,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/Siege101075117,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
http://dbpedia.org/class/yago/WikicatProvisionalIrishRepublicanArmyActionsInEngland,http://dbpedia.org/resource/Balcombe_Street_siege,Balcombe Street,66,22,1.0,0.0,9,40,== Prime minister (1970–1974) == | === Northern Ireland ===
