types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/WikicatNationalSportsTeamsOfTheUnitedStates,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/United_States_Equestrian_Team,U.S. equestrian team,83,38,1.0,0.0,25,48,== Personal life == | === Relationships ===
