types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/WikicatChoirs,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Choir108188638,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Chorus108187837,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Lay_clerk,lay clerk,157,52,1.0,0.0,4,6,== Biography == | === Early years ===
