types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lee_Hae-ri,Lee Haeri,16,140,1.0,0.0,4,7,== History == | === 2010s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lee_Hae-ri,Lee Haeri,16,140,1.0,0.0,4,7,== History == | === 2010s ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Lee_Hae-ri,Lee Haeri,16,140,1.0,0.0,4,7,== History == | === 2010s ===
