types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/WikicatMusicalTributesAndHomages,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Approval106686736,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Suite107047011,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/Tribute106697195,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
http://dbpedia.org/class/yago/WikicatSuites,http://dbpedia.org/resource/Bachianas_Brasileiras,Bachianas Brasileiras,61,181,1.0,0.0,0,20,== Recordings == | === Naïve Records ===
