types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rave,electronic dance-music culture,1760,69,1.0,0.0,3,43,== Artistry == | === Evolution ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Rave,electronic dance-music culture,1760,69,1.0,0.0,3,43,== Artistry == | === Evolution ===
http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/resource/Rave,electronic dance-music culture,1760,69,1.0,0.0,3,43,== Artistry == | === Evolution ===
