types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/ontology/Venue,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Cabaret102931417,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Spot104286128,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/class/yago/WikicatNightclubsInLondon,http://dbpedia.org/resource/Aura_Mayfair,Aura Mayfair,6,50,1.0,0.0,0,7,"== Career == | === 2005–2013: The X Factor, Addictiv Ladies and independent releases ==="
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/WikicatBritishSailors,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/WikicatCompanionsOfTheOrderOfTheBath,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/WikicatShipCaptainsOfTheCunardLine,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Captain109893191,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/CommissionedMilitaryOfficer109943239,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/CommissionedOfficer109942970,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Companion109945905,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Friend110112591,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Sailor110546633,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/James_Clayton_Barr,James Barr,6,145,0.9988142516941096,0.0008596503630431455,0,15,"== Career == | === 2018–present: I'm a Celebrity...Get Me Out of Here! Hits Radio Breakfast, return to music and Fearless ==="
