types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatJokes,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Wit106776138,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatSex-OrGender-relatedStereotypes,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Joke106778102,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Representation105926676,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/Stereotype105927586,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
http://dbpedia.org/class/yago/WikicatStockCharacters,http://dbpedia.org/resource/Blonde_stereotype,blonde bombshells,173,42,1.0,0.0,0,12,== Career == | === Film ===
