types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WikicatBroadwayPlays,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WikicatPlaysByNeilSimon,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Wikicat1986Plays,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WikicatAutobiographicalPlays,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Broadway_Bound,Broadway Bound,72,49,1.0,1.8811413455195347e-21,2,5,== Career == | === Broadway ===
