types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/CityDistrict108537837,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatPopulatedPlacesByType,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Slum108651832,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatSlums,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Shanty_town,shanty-style,621,29,0.999999987730746,0.0,4,10,== Career == | === Music ===
