types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAtlusGames,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatBanprestoGames,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatCrossoverVideoGames,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatVideoGamesDevelopedInJapan,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatVideoGamesWithCel-shadedAnimation,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatWinkysoftGames,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatNamcoBandaiGames,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/MilitaryAction100952963,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Series108457976,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/War100973077,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatSuperRobotWars,http://dbpedia.org/resource/Super_Robot_Wars,Super Robot Taisen,660,0,1.0,0.0,0,90,== Filmography == | === Video games ===
