types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatPeopleFromStockholm,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatDiscoMusicians,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://umbel.org/umbel/rc/Artist,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://umbel.org/umbel/rc/MusicalPerformer,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatMusicalTheatreComposers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatMusiciansFromStockholm,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/WikicatRockSingers,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Benny_Andersson,Benny Andersson,753,156,1.0,0.0,1,26,== Musical career == | ==== Nordic Light ====
