types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Manufacturer108060446,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Bicycle102834778,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Business108061042,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/WikicatFoldingBicycles,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/WikicatVehicles,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/WikicatCycleManufacturersOfItaly,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/WikicatBicycles,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Folding_bicycle,folding bike,163,45,1.0,0.0,5,47,== Personal life == | === Cycling ===
