types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
http://dbpedia.org/class/yago/Subculture108288753,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
http://dbpedia.org/class/yago/WikicatSubcultures,http://dbpedia.org/resource/Rude_boy,Rude boy,111,30,1.0,0.0,1,66,== Discography == | === Mixtapes ===
