types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Christian_Garros,Christian Garros,10,21,1.0,0.0,2,18,== Discography == | === As leader ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatAlHirtSongs,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat1920sJazzStandards,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat1921Songs,http://dbpedia.org/resource/Dear_Old_Southland,Dear Old Southland,10,0,1.0,0.0,0,84,== Discography == | === As sideman ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Christian_Chevallier,Christian Chevallier,6,0,0.9999999999829896,0.0,0,138,== Discography == | === As sideman ===
