types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatInsects,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Arthropod101767661,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Insect102159955,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Invertebrate101905661,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Termite102223266,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
http://dbpedia.org/class/yago/WikicatTermites,http://dbpedia.org/resource/Fontanellar_gun,Nasus,17,37,0.9999987507242012,0.0,4,11,== Career == | === 1980s–2000s ===
