types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/WikicatHeadChefsOfMichelinStarredRestaurants,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/WikicatJapaneseActors,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/WikicatJapaneseChefs,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/WikicatJapaneseEmigrantsToTheUnitedStates,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Chef109963574,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Cook109963320,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Emigrant110051975,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Migrant110314952,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Nobu_Matsuhisa,Nobu Matsuhisa,48,196,1.0,0.0,2,7,== Life and education == | === Culinary career ===
