types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/ontology/SoccerPlayer,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatPublicRadioPrograms,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatConcerts,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatRockMusicRadioPrograms,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Concert106892775,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Plan105898568,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/Wikicat1992RadioProgrammeDebuts,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatFrenchRadioPrograms,http://dbpedia.org/resource/Black_Sessions,Black Session,15,412,1.0,0.0,1,27,== Music == | === Collaborations ===
