types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://umbel.org/umbel/rc/MusicalComposition,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatRockMusicGenres,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatGirlGroups,http://dbpedia.org/resource/Girl_group,Girl group,3109,138,1.0,0.0,2,12,== Life and career == | === Personal life ===
