types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Wikicat2010Disasters,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Wikicat2010NaturalDisasters,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/Wikicat2010NaturalDisastersInTheUnitedStates,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatNaturalDisastersInTennessee,http://dbpedia.org/resource/2010_Tennessee_floods,May 2010 Tennessee floods,55,19,1.0,0.0,4,53,== Other activities == | === Philanthropy ===
