types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatHIV/AIDSOrganizations,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatBrandingCompanies,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatOrganizationsFoundedByBono,http://dbpedia.org/resource/Product_Red,Product (Red),152,72,1.0,0.0,2,66,== Business and other ventures == | === Endorsements ===
