types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/WikicatBBCExecutives,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/WikicatBBCTwoControllers,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/WikicatCommandersOfTheOrderOfTheBritishEmpire,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/Accountant109761403,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/Aubrey_Singer,Aubrey Singer,12,40,0.9999999999924682,0.0,2,11,== Career == | ==== Rock and Roll Heart Attack ====
