types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/ElectricOrgan103273551,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/ElectronicInstrument103279153,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
http://dbpedia.org/class/yago/WikicatElectronicOrgans,http://dbpedia.org/resource/Gibson_G-101,Gibson G-101,9,15,1.0,0.0,2,8,== Biography == | === The Doors ===
