types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/WikicatDartmouthCollegeAlumni,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
http://dbpedia.org/class/yago/WikicatStanfordUniversityAlumni,http://dbpedia.org/resource/Michael_New,Michael New,5,32,0.9999436960231022,0.0,0,87,== Personal life == | === Early relationships ===
