types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/WikicatIndependentRecordLabels,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/WikicatPopRecordLabels,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/WikicatCompaniesBasedInHamburg,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/WikicatRockRecordLabels,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
http://dbpedia.org/class/yago/WikicatGermanIndependentRecordLabels,http://dbpedia.org/resource/Grand_Hotel_van_Cleef,Grand Hotel Van Cleef,14,94,1.0,0.0,1,7,== History == | === Crocodile (2013–14) ===
