types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/WikicatPeopleWhoWorkWithAdolescents,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/WikicatPeopleWhoWorkWithChildren,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/WikicatPeopleWhoWorkWithFamilies,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/WikicatPeopleWhoWorkWithTeachers,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/School_counselor,School Counselor,343,0,0.9999999986831084,0.0,0,63,== Filmography == | === TV series ===
