types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Commerce101090446,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Sale101114824,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Selling101113068,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/Transaction101106808,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/WikicatSales,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Hire_purchase,installment plan,188,116,1.0,0.0,2,21,== Career == | ==== Popularity ====
